student_id,problem_id,correct,skill_ids
456,90,1,"[75, 59]"
462,357,1,[79]
727,256,1,"[43, 1]"
252,496,1,"[92, 45, 72]"
702,353,1,"[70, 92]"
296,220,0,"[80, 8, 69, 43]"
725,9,1,"[73, 72, 11, 96]"
720,12,1,"[33, 82, 32, 63]"
749,325,1,"[15, 49, 22, 25]"
338,438,1,[53]
879,244,0,"[36, 8, 93, 12]"
53,182,1,"[59, 79, 1, 94]"
792,284,0,"[56, 42, 18, 10]"
922,312,1,"[46, 88]"
217,99,1,"[6, 78, 93]"
764,197,0,"[30, 87, 54]"
188,482,1,[71]
380,366,1,"[35, 49]"
493,226,1,"[28, 26]"
41,333,1,[49]
157,103,1,"[33, 20, 37, 74]"
15,106,0,[78]
813,365,1,"[87, 49, 36, 74]"
65,368,0,"[18, 0, 80, 39]"
857,58,1,"[79, 25, 42]"
839,78,1,"[50, 14, 7]"
521,75,1,"[13, 96]"
344,42,1,"[6, 17]"
129,422,1,"[1, 49, 92, 20]"
648,324,1,"[90, 11, 83]"
472,181,1,[77]
63,33,0,"[22, 29]"
139,71,1,"[57, 94, 51]"
499,56,0,"[9, 18, 18, 86]"
593,105,1,[58]
392,200,1,"[58, 95, 83, 3]"
675,101,1,[64]
419,256,1,[66]
289,307,0,"[92, 54, 60, 94]"
379,74,1,[35]
773,171,1,"[21, 21]"
490,377,1,[94]
231,143,1,"[13, 92, 34, 49]"
41,166,1,[95]
28,399,0,"[55, 90, 9]"
135,261,1,[44]
201,221,0,[10]
840,83,0,[8]
780,182,1,"[70, 33, 82]"
930,307,1,"[88, 4, 92, 54]"
33,10,1,"[88, 14, 47]"
48,396,1,"[77, 80, 20, 79]"
503,4,1,"[8, 65]"
407,351,0,"[78, 34, 87]"
574,402,1,"[50, 77, 36, 5]"
728,336,1,"[85, 81]"
805,488,1,"[65, 95, 16]"
99,292,1,"[64, 8, 12, 99]"
684,281,0,[57]
872,215,1,"[30, 22]"
726,460,1,"[27, 58, 9]"
987,98,1,[99]
547,420,0,"[25, 76]"
961,101,1,[39]
739,451,0,"[22, 34, 74, 75]"
613,9,1,[78]
943,61,1,[36]
462,309,1,[18]
643,146,1,"[72, 98, 26]"
769,427,1,[56]
5,419,1,"[11, 8, 91, 76]"
218,63,1,"[76, 26, 89, 62]"
503,121,1,[28]
767,226,1,"[72, 87]"
398,105,1,"[18, 37]"
871,462,0,"[38, 14, 53]"
795,260,1,"[45, 60, 92, 51]"
393,349,1,"[72, 34]"
207,425,1,"[36, 77]"
15,255,0,[48]
858,429,0,[18]
554,434,1,"[27, 79, 25]"
892,207,1,"[39, 24]"
461,28,0,"[68, 70, 22]"
691,170,0,[64]
575,336,1,"[63, 67]"
864,76,0,"[27, 77]"
743,116,1,[67]
241,69,0,"[74, 95]"
564,354,1,"[0, 25, 32, 80]"
96,234,1,"[41, 68, 70]"
900,1,1,"[24, 71, 97, 3]"
734,167,0,"[57, 94, 10, 58]"
485,352,0,[35]
407,218,1,[21]
231,273,1,[49]
749,368,1,"[99, 71, 88, 91]"
655,251,1,"[99, 99, 42, 45]"
171,347,1,"[12, 37, 44, 24]"
541,344,1,"[54, 95, 38]"
36,419,0,[74]
525,174,1,"[68, 85]"
160,170,1,"[45, 76]"
839,246,1,"[86, 30, 98, 34]"
699,423,1,"[44, 76]"
243,90,0,"[70, 68]"
86,49,1,"[28, 71]"
796,446,1,"[53, 6, 82, 22]"
578,294,1,"[31, 61, 44, 67]"
682,407,1,"[38, 4]"
557,150,1,"[21, 27, 21]"
574,132,1,"[85, 97, 28, 42]"
953,433,1,"[59, 76]"
646,59,1,"[73, 91, 67]"
796,457,1,"[95, 85, 83]"
28,324,1,"[83, 5, 72, 27]"
620,199,1,[30]
556,215,1,"[49, 77, 85]"
340,386,0,"[36, 87]"
798,49,1,"[14, 50, 69, 22]"
958,472,1,[94]
331,232,1,"[92, 22]"
640,247,1,"[72, 76]"
506,382,1,"[50, 40, 64, 64]"
348,479,0,[39]
473,239,1,"[35, 30]"
231,415,1,"[62, 0]"
190,367,1,"[51, 99, 56]"
225,168,0,[85]
385,48,1,"[91, 89, 73, 55]"
377,51,1,"[2, 1, 53]"
283,299,0,[55]
958,98,0,"[96, 95, 11]"
633,439,0,"[66, 25]"
628,216,1,"[11, 89]"
973,177,1,"[52, 71, 48, 48]"
745,380,1,"[6, 14, 35, 71]"
259,474,1,"[14, 61]"
359,80,1,"[45, 60]"
710,185,0,[42]
456,367,0,"[98, 65, 54, 85]"
411,461,1,"[38, 99, 4]"
649,399,1,[14]
318,27,1,"[15, 56, 99]"
677,452,0,"[81, 98]"
225,464,1,[21]
819,448,0,"[30, 33, 86, 15]"
234,478,1,"[58, 14]"
684,492,1,"[12, 23]"
664,414,0,[64]
975,420,1,"[35, 48, 81, 47]"
827,195,1,[42]
374,214,0,"[80, 67]"
672,369,1,"[29, 83]"
608,342,1,"[53, 65, 3, 73]"
472,114,1,"[59, 52, 98, 73]"
233,242,1,"[14, 99, 0, 21]"
692,124,0,"[92, 14, 73]"
113,305,0,"[21, 49, 47, 72]"
830,76,0,"[50, 95, 16, 82]"
497,311,1,"[90, 50, 36, 97]"
442,469,1,"[48, 58, 9]"
564,312,1,"[29, 84, 20]"
268,196,0,"[33, 72]"
510,351,1,"[49, 75]"
807,44,1,"[84, 83, 5]"
386,415,0,"[99, 62]"
387,186,1,"[40, 30, 1, 15]"
113,343,1,"[0, 3, 46, 64]"
613,246,1,"[46, 98, 76, 49]"
625,437,0,[41]
952,84,1,"[83, 55, 70]"
81,207,0,[32]
699,151,1,"[43, 55, 43, 83]"
113,156,0,"[72, 33, 13, 67]"
2,16,1,[78]
642,165,1,"[16, 82, 8]"
220,405,0,"[48, 78, 36]"
566,463,0,"[49, 54, 3, 84]"
855,145,1,"[97, 18, 36, 3]"
997,498,0,[50]
736,37,0,"[44, 11, 40, 55]"
225,333,1,"[13, 53, 62, 64]"
385,403,1,"[57, 95, 20, 3]"
403,414,0,[45]
638,45,1,"[11, 29]"
130,402,1,"[95, 59]"
53,206,0,"[70, 80, 64, 13]"
684,62,1,"[43, 25, 90]"
730,420,1,[15]
672,356,0,"[6, 31]"
710,468,1,[88]
416,308,0,"[15, 77, 88]"
247,19,0,"[29, 70]"
836,365,1,"[66, 90, 45, 82]"
439,300,1,"[54, 44, 59]"
203,7,1,"[70, 79]"
184,249,1,"[7, 76, 61, 74]"
123,428,1,"[17, 5, 83, 95]"
401,117,1,"[28, 3]"
767,68,1,"[42, 83, 33]"
294,34,1,"[70, 32, 14, 95]"
280,194,1,"[39, 92]"
837,325,1,[4]
884,55,1,"[49, 98]"
610,266,1,"[88, 53]"
198,480,1,"[45, 79, 10, 48]"
982,42,1,"[22, 54, 4]"
907,297,1,"[34, 92, 68, 53]"
511,461,0,"[5, 86, 55]"
752,231,1,"[81, 93]"
144,453,1,"[55, 4]"
609,378,1,"[10, 64]"
201,394,1,"[40, 43]"
124,10,1,"[32, 90]"
187,358,0,"[11, 1, 0, 64]"
326,475,1,[32]
464,444,0,"[75, 35]"
349,128,1,[83]
771,179,1,"[25, 46, 94, 0]"
660,405,1,"[13, 89]"
764,392,1,"[41, 6]"
955,193,1,"[55, 75, 62]"
932,92,1,"[82, 72, 98, 3]"
403,369,1,[41]
346,231,1,"[69, 27, 91, 39]"
963,78,1,"[28, 41, 68]"
511,85,1,[40]
147,30,1,[54]
148,213,1,"[40, 8, 28, 77]"
864,49,0,"[61, 53]"
711,265,1,"[33, 36, 48, 41]"
820,145,1,"[81, 32]"
489,69,1,"[97, 91]"
929,58,0,"[86, 16, 74, 31]"
936,185,1,[78]
640,62,1,"[38, 93, 9, 86]"
551,479,1,"[99, 57, 68, 63]"
338,308,1,"[7, 70, 39]"
872,445,1,[26]
641,296,1,"[87, 1]"
779,166,0,"[13, 16, 59, 69]"
988,171,1,"[16, 44, 37]"
953,63,1,"[63, 5, 59, 48]"
473,147,1,[98]
946,484,1,"[75, 56, 63]"
151,306,1,[26]
415,161,1,"[20, 70]"
990,141,1,"[40, 79, 4]"
298,334,1,"[20, 57, 3]"
611,97,1,[6]
263,446,1,"[35, 14, 91]"
764,221,1,"[56, 4]"
144,43,1,"[85, 94, 31]"
346,433,0,"[40, 41, 74, 64]"
624,292,1,"[39, 82, 37]"
572,378,1,"[36, 55]"
881,108,0,"[54, 88, 53]"
2,266,1,"[26, 46]"
897,95,0,"[38, 14]"
304,262,1,"[65, 60, 59]"
254,313,1,"[43, 42, 5, 83]"
652,385,1,"[44, 22, 80]"
453,71,0,"[12, 67]"
37,442,1,"[63, 24, 85, 51]"
160,219,0,"[60, 16, 39, 74]"
9,21,1,[68]
233,92,0,[25]
99,127,1,"[55, 39, 84, 95]"
659,80,1,"[7, 72, 44, 16]"
816,312,0,[76]
208,238,0,[69]
131,471,1,"[23, 72, 10]"
404,372,1,"[28, 7, 16]"
152,404,1,"[11, 78, 92]"
54,486,1,[49]
120,182,1,"[23, 36]"
673,25,1,"[10, 98]"
920,156,1,[58]
628,5,0,"[26, 66, 59]"
587,120,1,"[67, 17]"
625,277,1,"[84, 62, 77, 71]"
968,18,1,"[89, 82]"
420,431,1,"[27, 28]"
422,198,1,[27]
104,57,1,"[89, 4, 14, 72]"
852,93,1,"[51, 89, 36, 14]"
254,19,0,[3]
227,384,1,[52]
112,353,0,"[83, 26, 20, 59]"
510,193,0,"[63, 70]"
473,237,0,"[53, 30, 16]"
99,387,1,"[49, 6, 82]"
153,426,1,"[9, 26, 12, 65]"
861,277,1,"[83, 59]"
914,227,1,"[42, 68, 62]"
896,233,1,"[98, 64]"
878,40,1,"[66, 53, 35]"
338,323,1,"[92, 14, 74]"
706,153,1,"[3, 87]"
822,127,1,"[5, 50, 57]"
163,237,0,"[17, 78, 66, 16]"
720,486,1,[33]
957,493,1,"[18, 8]"
681,55,1,"[43, 94, 58, 90]"
996,468,0,"[24, 70, 52]"
161,436,1,"[70, 83, 52, 48]"
580,172,1,"[99, 18, 65]"
801,109,1,"[80, 87]"
398,354,1,[53]
277,469,1,[91]
816,184,0,"[14, 84, 14]"
916,439,0,[22]
504,368,0,[65]
896,471,0,"[99, 8]"
392,198,1,"[65, 17]"
135,371,0,[71]
195,373,1,"[33, 68]"
401,461,1,"[43, 28, 61, 91]"
640,497,1,"[77, 51, 1, 60]"
33,87,1,"[51, 40, 51, 30]"
688,201,1,"[26, 50]"
460,337,1,"[97, 94, 47, 10]"
955,322,1,"[11, 98, 44, 33]"
883,275,0,[90]
470,211,1,"[46, 20, 40, 74]"
375,391,1,"[20, 27]"
22,118,0,"[70, 13, 78]"
750,191,1,[51]
670,42,0,"[70, 75, 18]"
38,42,1,"[17, 12, 0]"
230,315,0,"[84, 33]"
365,276,1,[50]
563,329,1,"[0, 86, 27]"
438,17,1,"[31, 71, 54]"
776,283,1,"[13, 87]"
283,431,0,"[92, 67, 62, 81]"
27,258,1,"[26, 40]"
226,63,1,"[2, 93, 58]"
277,62,1,"[22, 17, 73, 75]"
798,100,0,[40]
609,19,1,"[31, 80, 40, 44]"
284,17,0,"[77, 8]"
879,325,1,[89]
960,423,1,"[23, 86, 94, 43]"
481,466,1,"[65, 17]"
453,373,0,"[28, 74, 1, 77]"
829,246,0,"[97, 38, 72, 40]"
816,251,1,"[80, 86, 74]"
659,455,1,"[81, 48]"
516,81,0,"[15, 67, 61, 35]"
547,39,1,"[10, 84]"
192,36,1,[79]
49,424,1,"[54, 72]"
512,429,1,"[56, 33, 72]"
17,388,1,[69]
172,486,1,"[45, 91, 10, 97]"
220,409,1,[34]
158,197,0,[56]
477,158,1,"[10, 11, 42]"
46,204,0,"[76, 67, 77]"
373,196,1,"[58, 1, 7, 21]"
518,216,1,"[76, 20, 84]"
99,285,1,"[96, 28, 85, 89]"
892,457,0,"[74, 74, 97]"
745,196,1,"[36, 77, 28]"
37,307,0,"[36, 20, 87]"
280,152,1,"[11, 47]"
349,14,1,"[46, 93, 14]"
497,325,0,"[12, 58, 72]"
302,146,1,"[12, 79, 77, 71]"
181,426,1,"[18, 56]"
607,57,0,"[31, 98, 86, 20]"
99,211,1,"[13, 79]"
700,268,1,"[48, 31, 74, 10]"
993,210,0,"[67, 60, 89, 4]"
116,17,1,"[96, 63, 77, 31]"
191,286,0,"[73, 65, 9]"
253,344,1,"[20, 39, 41]"
981,203,0,"[45, 81, 72, 40]"
928,99,1,"[3, 98]"
983,279,0,"[13, 52]"
161,209,1,"[83, 28, 22, 84]"
256,129,1,"[95, 70, 76]"
323,335,1,[22]
128,288,1,"[75, 99, 15, 25]"
18,252,0,[92]
793,265,0,"[36, 32]"
735,271,1,"[45, 60, 40]"
566,412,0,"[94, 15]"
570,408,1,"[50, 36, 13, 67]"
323,188,1,"[59, 52]"
872,419,1,[35]
686,214,1,"[63, 13]"
792,283,1,"[47, 27, 6]"
626,211,0,"[9, 67]"
288,365,1,"[12, 84, 32, 91]"
943,76,1,"[31, 47, 4]"
854,148,1,[89]
663,321,0,"[89, 2, 23]"
962,213,1,[97]
639,433,1,"[83, 93]"
155,109,1,"[19, 40]"
490,129,0,"[19, 5]"
386,10,1,"[56, 41]"
986,47,0,"[24, 40, 40, 2]"
785,379,1,"[42, 45, 56, 82]"
104,315,0,"[50, 4]"
929,96,1,"[72, 96]"
393,446,1,"[87, 93, 99]"
811,103,1,"[38, 69]"
246,380,1,"[37, 38, 51]"
176,342,1,"[2, 28]"
39,146,0,[30]
477,368,0,[65]
682,430,0,"[44, 72, 21]"
759,416,1,"[9, 20, 16]"
538,27,1,"[6, 35, 66]"
867,220,1,"[76, 29]"
818,18,1,"[70, 93, 28]"
921,167,0,"[73, 32, 58, 19]"
408,433,1,[28]
525,477,0,[84]
828,82,1,[33]
506,428,0,"[95, 13, 36, 34]"
903,72,1,"[23, 64, 5]"
825,310,0,[67]
36,479,1,"[0, 40]"
685,254,1,"[35, 72, 53]"
20,162,0,[86]
321,327,1,"[28, 84, 2]"
776,420,1,"[89, 60]"
512,402,1,"[19, 60]"
400,38,1,"[12, 22]"
654,443,1,"[30, 3, 74]"
972,393,1,"[65, 15]"
883,201,1,"[30, 47, 42]"
471,494,1,"[3, 61, 47, 27]"
143,200,1,"[15, 88]"
92,255,1,"[76, 68]"
354,179,0,"[64, 68]"
834,35,0,"[13, 74]"
800,82,1,"[55, 28]"
727,389,1,"[78, 24]"
959,398,1,"[65, 39]"
854,220,0,"[14, 31, 19]"
51,158,1,[77]
665,4,1,"[66, 48, 66]"
698,167,1,[88]
575,468,1,"[0, 38]"
190,448,1,[54]
125,409,1,[1]
150,412,1,"[16, 28]"
314,204,1,[3]
570,194,1,[63]
342,235,0,[42]
305,206,1,"[75, 11]"
692,150,1,"[67, 60]"
682,159,1,"[72, 50, 95, 76]"
838,279,1,"[82, 77]"
783,304,1,[90]
54,404,1,"[89, 9, 87, 80]"
444,381,0,"[79, 16, 64, 20]"
613,166,1,"[48, 21]"
993,311,1,[63]
264,68,1,"[20, 55, 72, 90]"
53,463,1,"[75, 17, 98, 14]"
572,88,0,"[43, 93]"
620,217,1,[96]
5,1,1,"[39, 50, 29, 25]"
103,135,0,[30]
196,185,0,"[55, 60, 16, 80]"
774,351,1,"[23, 96]"
877,140,1,"[3, 8, 1]"
992,106,1,"[37, 44, 14]"
884,133,1,"[41, 2, 30]"
350,108,0,"[40, 56, 41, 52]"
47,178,1,"[55, 86, 75]"
867,298,1,"[52, 84, 84, 31]"
823,358,1,[53]
936,380,1,[87]
820,396,1,"[81, 10, 53, 59]"
656,359,0,"[9, 89, 69]"
269,146,1,"[80, 86, 41]"
370,450,1,[91]
636,74,0,"[75, 57, 84, 58]"
106,463,1,"[27, 36, 20, 32]"
670,478,0,"[82, 27]"
659,108,1,"[0, 27, 49]"
657,122,1,"[95, 27, 8]"
120,17,1,"[62, 3, 55, 40]"
831,196,0,"[47, 85, 57]"
787,327,1,"[24, 59, 85]"
604,318,1,"[46, 97]"
58,297,0,[83]
951,479,1,"[26, 95, 41, 51]"
346,499,1,[47]
741,252,1,"[23, 2, 26, 72]"
474,487,1,"[22, 6, 80, 36]"
117,119,1,"[93, 76, 81]"
830,162,1,"[21, 77, 81]"
791,198,0,"[16, 18, 94]"
127,498,0,"[35, 14, 62]"
393,486,1,[59]
908,45,0,"[39, 15, 32, 88]"
641,314,1,"[29, 97, 65, 43]"
58,179,1,"[37, 50, 59]"
634,382,1,"[4, 39]"
513,418,1,"[75, 11]"
751,44,0,"[72, 21, 48, 49]"
802,271,1,"[3, 49, 2, 15]"
96,78,1,"[63, 40]"
638,326,1,"[67, 58]"
118,178,1,"[9, 74]"
560,357,1,"[89, 25, 3]"
601,498,1,"[27, 1]"
488,416,1,"[15, 56]"
237,451,0,"[22, 76, 20]"
885,3,1,"[24, 57, 36]"
897,214,1,[48]
272,342,1,[14]
189,74,0,"[66, 86, 3, 46]"
999,51,1,"[59, 61]"
704,67,0,"[71, 42, 88]"
447,332,0,"[57, 51]"
581,93,0,"[68, 96, 45, 24]"
790,176,0,[34]
861,145,0,[14]
247,7,1,"[89, 73]"
963,269,0,"[34, 28, 37, 68]"
76,376,1,"[18, 45, 48, 43]"
154,322,0,[25]
656,4,1,[34]
435,138,1,"[35, 13]"
997,231,1,"[55, 5, 31, 25]"
86,88,1,"[48, 94, 55]"
697,17,1,[52]
285,52,1,"[82, 77]"
974,134,0,"[10, 26, 1, 21]"
220,211,1,"[83, 16]"
69,325,1,"[13, 6, 78, 93]"
47,480,0,"[65, 18, 0, 30]"
94,458,1,"[3, 90, 57, 55]"
750,393,1,[88]
958,219,1,"[42, 73]"
453,205,0,"[96, 48]"
204,211,1,"[59, 93, 93, 15]"
912,277,1,[80]
218,24,1,"[59, 46, 14]"
474,486,1,"[27, 19, 96]"
432,4,1,"[32, 35, 12]"
341,152,0,"[67, 22]"
551,443,0,"[12, 87, 39, 29]"
612,483,1,"[93, 24, 96, 72]"
289,259,1,"[23, 96]"
254,324,0,"[88, 78, 60]"
734,357,1,[48]
357,168,1,[69]
23,176,1,"[43, 15, 20, 14]"
762,310,1,"[41, 60, 3]"
522,291,0,"[2, 0, 93, 12]"
758,479,1,"[81, 39]"
837,56,1,"[10, 41, 92]"
100,108,1,"[24, 99, 35, 63]"
802,473,0,[43]
180,296,1,"[91, 44, 7, 84]"
223,461,1,"[43, 17, 46]"
906,324,1,[40]
762,302,1,[63]
659,334,1,"[71, 86]"
442,141,1,"[36, 94, 92]"
608,155,1,[19]
769,262,1,"[86, 39, 84]"
325,273,0,[7]
516,420,1,[24]
16,232,1,"[36, 4, 7]"
792,241,1,"[3, 40, 59, 53]"
336,355,1,"[77, 18]"
759,337,1,[98]
258,489,0,"[32, 21, 64, 10]"
497,258,0,"[67, 92, 43, 87]"
988,249,1,"[8, 71, 77, 78]"
896,77,1,[61]
160,180,1,"[14, 5]"
475,66,1,[19]
852,308,1,[35]
664,348,1,"[69, 1]"
908,171,0,"[6, 83, 63]"
690,474,1,[53]
675,22,1,[4]
380,367,0,[81]
545,107,1,"[0, 24, 80]"
929,439,1,"[14, 68]"
957,323,1,[20]
691,227,1,[54]
427,444,0,"[9, 80, 56]"
613,442,0,[36]
268,396,0,"[6, 75, 39, 49]"
835,216,0,"[0, 19]"
577,69,1,"[30, 67, 89, 11]"
417,84,0,"[0, 0]"
168,103,0,"[75, 20, 12]"
842,39,1,[12]
43,13,1,[81]
556,297,1,"[32, 5, 24, 22]"
285,313,1,"[25, 3, 34, 74]"
397,181,1,"[24, 19, 0, 93]"
12,493,0,"[22, 98, 21, 94]"
607,268,0,"[0, 58]"
302,13,1,"[18, 29, 0, 47]"
898,120,1,"[51, 84, 21]"
253,458,0,"[65, 5]"
499,353,1,"[20, 96, 18, 90]"
754,57,1,[62]
35,40,0,[59]
727,374,0,"[33, 0, 47, 88]"
849,336,0,"[20, 33, 25]"
90,128,1,"[98, 22, 80, 46]"
776,173,1,"[75, 43]"
605,35,0,"[26, 60, 36, 83]"
922,259,1,"[74, 91, 61, 65]"
970,376,0,"[79, 11, 15, 35]"
602,5,1,"[88, 61]"
418,218,1,"[28, 91, 73, 86]"
115,11,1,"[30, 82, 14, 54]"
617,382,1,[80]
903,327,0,"[99, 19, 72, 37]"
196,117,1,"[53, 65, 17]"
826,184,0,"[82, 6, 34]"
501,394,0,"[83, 83, 82, 79]"
626,362,1,"[84, 92]"
493,116,0,"[59, 23, 92, 94]"
75,162,1,[38]
413,67,0,"[93, 52, 63, 3]"
376,200,1,"[4, 15]"
420,31,1,"[3, 71, 47]"
729,75,1,"[80, 45, 43, 66]"
277,237,1,"[51, 33, 61]"
761,327,0,[20]
676,493,1,"[23, 43, 40]"
394,66,1,[5]
869,70,1,"[13, 49, 77, 51]"
457,297,0,"[76, 0, 11, 23]"
920,447,1,[83]
192,416,1,"[75, 84]"
739,20,1,"[26, 52, 99]"
689,441,1,[14]
99,226,0,"[3, 16, 10]"
548,434,0,"[31, 26, 43, 42]"
978,464,0,"[48, 92, 72]"
999,409,1,"[2, 28, 84]"
96,396,0,"[47, 73, 86]"
664,199,1,"[88, 23, 19]"
663,39,0,"[84, 75, 17]"
190,145,1,"[86, 92, 40, 99]"
736,45,1,[89]
37,395,1,"[74, 10, 55]"
780,326,1,"[11, 15]"
369,381,1,"[99, 16, 84]"
695,407,0,"[30, 34, 26]"
525,91,1,"[31, 16, 10]"
279,238,0,[91]
217,70,1,"[48, 40]"
867,166,1,"[70, 36, 15, 38]"
873,130,0,[44]
798,214,1,"[46, 22, 31, 48]"
273,340,1,[18]
881,89,0,"[97, 77]"
62,335,1,"[66, 38, 88]"
596,252,1,"[10, 48, 14, 82]"
880,369,0,[42]
729,349,1,"[78, 78, 72]"
342,72,0,[82]
397,165,1,"[28, 61, 59, 68]"
699,49,1,"[21, 12, 49]"
19,52,1,"[46, 28, 79, 99]"
177,289,0,[19]
612,278,1,"[5, 21]"
396,114,0,"[8, 31, 87, 32]"
445,239,1,[98]
233,133,1,"[48, 29]"
915,487,0,"[15, 64]"
76,274,1,"[81, 85]"
265,166,1,"[13, 55]"
455,374,1,[48]
796,373,1,"[89, 49]"
718,293,1,"[51, 22, 65, 70]"
735,478,1,"[44, 85, 27]"
384,243,1,"[19, 48]"
564,479,1,[81]
851,320,1,[87]
506,138,1,[58]
367,79,0,"[25, 18, 12]"
144,170,0,"[61, 13]"
885,123,1,[10]
69,176,1,"[11, 34, 38]"
99,300,0,"[13, 64, 26, 59]"
396,82,1,"[64, 54, 92]"
25,87,1,"[80, 34, 94, 31]"
948,225,1,"[94, 38, 19]"
891,16,0,"[2, 31, 85, 57]"
469,310,1,"[41, 14]"
484,358,0,"[82, 61]"
565,163,0,"[60, 25, 68]"
151,98,1,[19]
144,156,0,"[65, 20, 59]"
569,2,1,"[50, 99, 91]"
39,350,1,"[38, 99, 10, 56]"
109,397,1,"[36, 83, 95]"
693,169,1,"[24, 20, 79]"
42,464,1,"[41, 0, 22, 23]"
186,315,1,"[88, 6, 37]"
935,325,1,"[46, 34, 77]"
398,375,1,"[72, 2]"
223,92,1,"[19, 96]"
634,181,0,[43]
133,231,1,"[99, 25, 47, 4]"
163,301,1,"[60, 48, 29]"
215,148,1,[69]
733,280,1,"[62, 60]"
235,189,1,"[14, 0, 12]"
843,347,1,"[33, 29, 18, 63]"
658,350,1,"[56, 43]"
751,314,1,"[39, 23, 10, 65]"
588,493,0,[57]
9,411,0,"[67, 93, 58, 70]"
74,410,1,"[21, 89, 28, 88]"
954,128,0,"[83, 77]"
492,7,1,[68]
913,426,1,[69]
253,47,0,"[16, 78]"
230,53,1,"[39, 27, 1]"
519,187,1,"[26, 20]"
174,38,1,"[6, 60, 51]"
653,453,1,"[47, 18, 72]"
168,471,1,"[93, 70, 1, 16]"
170,476,1,"[75, 2, 20]"
393,226,1,"[78, 50]"
946,53,1,"[9, 54]"
795,399,0,"[50, 73, 16, 88]"
634,224,1,[90]
194,154,0,[74]
517,48,1,[64]
29,351,0,"[96, 84, 79]"
165,147,0,"[86, 73, 47]"
422,393,1,[85]
339,64,1,[69]
648,349,1,"[99, 9, 56]"
496,182,0,"[12, 60, 57, 83]"
365,125,1,"[83, 85, 28, 15]"
